last_author,subject,keywords,journal-title,publisher-name,article-title,first_author,contrib,aff,year
Liu                    Han,"         Cell, Molecular, and Stem Cell Biology        ",,Cancer Science,John Wiley and Sons Inc.,Exosomes play a role in multiple myeloma bone disease and tumor development by targeting osteoclasts and osteoblasts,Ge                    Maolin,5,,2018
Takiguchi                    Yuichi,,,Oncology Reports,D.A. Spandidos,Role of IGFBP7 in diabetic nephropathy: TGF-β1 induces IGFBP7 via Smad2/4 in human renal proximal tubular epithelial cells,Fan                    Mengmeng,10,,2016
Zhang                    Xianwei,,,Journal of Pain Research,Dove Medical Press,Assessment of cognitive and adaptive behaviour among individuals with congenital insensitivity to pain and anhidrosis,Li                    Ningbo,11,,2010
Crispin                    Jose C.,            Propidium Iodide Staining           ,,PLoS ONE,Public Library of Science,Evolution of neuropathologic abnormalities associated with blood-brain barrier breakdown in transgenic mice expressing interleukin-6 in astrocytes,Matsueda                    Yu,5,,1995
Zhang                    Sicong,,,Frontiers in Neuroscience,Frontiers Media S.A.,Anti-fatigue performance in SSVEP-based visual acuity assessment: a comparison of six stimulus paradigms.,Zheng                    Xiaowei,10,,2020d
Mattei                    Fabrizio,           Cell Staining          ,,PLoS ONE,Public Library of Science,"Cloning and characterization of MEK6, a novel member of the mitogen-activated protein kinase kinase cascade",Ernst                    Ann-Kathrin,16,,1996
Mohammed                    Noman,,,BMC Medical Genomics,ACM,Privacy in the genomic era,Aziz                    Md Momin Al,4,,2015
Geng                    Yong,,,Acta Pharmacologica Sinica,Springer Nature Singapore,Immune inhibitory molecules LAG-3 and PD-1 synergistically regulate T-cell function to promote tumoral immune escape,Zhang                    Wan-ting,12,,2012
Lussier                    Yves A,,,BMC Medical Genomics,"Vienna, Austria",Precision oncology: an overview,Gardeux                    Vincent,6,,2013
Manchia.                    Mirko,        Observational Study       ,,Medicine,Wolters Kluwer Health,A genome-wide association study of pulmonary function measures in the Framingham Heart Study,Suh                    Yujin,3,"Department of Bioinformatics and Life Science, Soongsil University, Seoul, Korea.",2009
Kay                    Kendrick,           Convolution          ,,PLoS ONE,W.H. Freeman,Acceptance letter,Tang                    Kevin,8,,2013
Pan                    Zhigeng,,,"Sensors (Basel, Switzerland)",Springer,Snaptoreality: Aligning augmented reality to the real world,Wei                    Hongtao,7,"College of Information Engineering, Wuhan University of Technology, Wuhan 430070, China;",2022
Park                    Keunchil,,,Cancer Research and Treatment : Official Journal of Korean Cancer Association,Korean Cancer Association,Prospective blinded study of somatic mutation detection in cell-free DNA utilizing a targeted 54-gene next generation sequencing panel in metastatic solid tumor patients,Lee                    Se-Hoon,30,,2015
Rowland Yeo                    Karen,,,Clinical Pharmacokinetics,Springer International Publishing,"Combination of olanzapine and samidorphan has no clinically relevant effects on ECG parameters, including the QTc interval: results from a phase 1 QT/QTc study",Sun,3,,2020
Kapur,        Papers       ,,BJPsych Open,StataCorp LP,Safety planning intervention: a brief intervention to mitigate suicide risk,Taylor,6,"Centre for Mental Health and Safety, Manchester Academic Health Science Centre,",2012
Carbon                    Claus-Christian,        Art and Perception       ,,i-Perception,Westview Press,“Stability of babyfaceness and attractiveness across the life span”,Carbon                    Claus-Christian,1,"University of Bamberg, Department of General Psychology and Methodology, Markusplatz 3, D-96047 Bamberg, Germany; email:",1993
Thawani                    Jayesh P.,,,Surgical Neurology International,Medknow Publications & Media Pvt Ltd,3D printing of intracranial artery stenosis based on the source images of magnetic resonance angiograph,Randazzo                    Michael,4,,2014
Song                    Won-Kyung,,,Journal of Physical Therapy Science,The Society of Physical Therapy Science,Robotic assist-as-needed as an alternative to therapist-assisted gait rehabilitation,Cho                    Ki Hun,3,,2016
Stevenson                    A. R. L.,,,The British Journal of Surgery,Elsevier,Three‐dimensional vision enhances task performance independently of the surgical method,Sakata                    S.,5,,2012
Mei                    Ning,,,Frontiers in Behavioral Neuroscience,IEEE,Sun database: Large-scale scene recognition from abbey to zoo,Ellmore                    Timothy M.,4,,2010
Verde,        Letter       ,,"Sensors (Basel, Switzerland)",Springer Science & Business Media,Joint Tx-Rx beamforming design for multicarrier MIMO channels: A unified framework for convex optimization,Darsena,4,,2003
Nakayama                    Atsuo,,,Molecular Genetics & Genomic Medicine,John Wiley and Sons Inc.,Mitochondrial energetics and therapeutics,Fukada                    Masahide,8,,2010
Li                    Qing-Shan,,,Oncotarget,Impact Journals LLC,Prognostic Impact of Tumor Microenvironment in Diffuse Large B-Cell Lymphoma Uniformly Treated With R-CHOP Chemotherapy,Zhong                    Wei-Jie,9,,2016
Sekiya                    Jon K.,        115       ,,Sports Health,SAGE Publications,Arthroscopic lavage speeds reduction in effusion in the glenohumeral joint after primary anterior shoulder dislocation: a controlled randomized ultrasound study,Godin                    Jonathan,2,,2000
Niemczyk                    Stanislaw,,,BMC Nephrology,Springer,Mathematical model of potassium profiling in chronic dialysis,Stecz,4,,2017
Laufer                    Y.,,,ISRN Orthopedics,International Scholarly Research Network,Gender differences in pain and depressive tendency among Chinese elders with knee osteoarthritis,Elboim-Gabyzon                    M.,3,,2007
Vertegaal,,,Nature Communications,Nature Publishing Group UK,"STRING v10: protein–protein interaction networks, integrated over the tree of life",Liebelt                    Frauke,8,,2015
Vrtovec                    Bojan,,,Disease Markers,Hindawi,"Autologous mesenchymal stem cells produce concordant improvements in regional function, tissue perfusion, and fibrotic burden when administered to patients undergoing coronary artery bypass grafting: the Prospective Randomized Study of Mesenchymal Stem Cell Therapy in Patients Undergoing Cardiac Surgery (PROMETHEUS) trial",Poglajen                    Gregor,7,,2014
Etzion                    Yoram,,,Scientific Reports,Nature Publishing Group UK,Spironolactone prevents aldosterone induced increased duration of atrial fibrillation in rat,Klapper-Goldstein                    Hadar,9,,2012
Bhattacharya                    Pratip K.,,,Scientific Reports,Nature Publishing Group UK,High-throughput hyperpolarized (13) C metabolic investigations using a multi-channel acquisition system,Zacharias                    Niki Marie,11,,2015
Kluger                    Yuval,        Methods Online       ,,Nucleic Acids Research,Wiley,Netrin-1 and its receptors in tumour growth promotion,Strino                    Francesco,4,,2008
Nakamura                    Kazuyuki,        Methodology       ,,Proteome Science,BioMed Central,A novel approach of protein immobilization for protein chips using an oligo-cysteine tag,Akada                    Junko,14,,2006
Karathanasis                    Efstathios,           PET imaging          ,,PLoS ONE,Public Library of Science,"The anti-cancer drug, doxorubicin, causes oxidant stress-induced endothelial dysfunction",Cheng                    Qing,13,,2006
dennis.marshall@ferring.com,,,Reproductive biology and endocrinology : RB&E,Cambridge: Cambridge University Press,Pain perception following subcutaneous injections of citrate-buffered and phosphate-buffered epoetin alpha,Dickey                    Richard P,10,,1998
You                    Zongbing,,,Cancer Research and Treatment : Official Journal of Korean Cancer Association,Korean Cancer Association,IL-17 is associated with poor prognosis and promotes angiogenesis via stimulating VEGF production of cancer cells in colorectal carcinoma,Li                    Qingli,6,,2011
Lambalk                    C.B.,        Review       ,,Human Reproduction Open,Blackwell Scientific Publications,Long-term health consequences of PCOS,Sadrzadeh                    S.,5,,1992
Sui                    Xin-Bing,,,Frontiers in Pharmacology,Frontiers Media S.A.,Long-circulating siRNA nanoparticles for validating Prohibitin1-targeted non-small cell lung cancer treatment.,Kong                    Na,5,,2015
Chiu                    Ming-Jang,        Systematic Review       ,,Biomedicines,MDPI,Elastin-Derived Peptides in the Central Nervous System: Friend or Foe,Wolgin,7,,2021
Yang                          Yun,,,Journal of the American Society of Echocardiography,Mosby-Year Book,"Feasibility, reproducibility, and clinical implications of the novel fully automated assessment for global longitudinal strain",Asch                    Federico M.,39,,2021
Lee                    Hyo-Jeong,,,BMC Cancer,BioMed Central,Hypoxia--a key regulatory factor in tumour growth,Lee                    Seon-Ok,4,,2002
Sahinalp                    S. Cenk,         Genes        ,,Bioinformatics,Oxford University Press,Integrating human sequence data sets provides a resource of benchmark SNP and indel genotype calls,Numanagić                    Ibrahim,6,,2014
Nicolay                    Nils H.,,,Scientific Reports,Nature Publishing Group UK,DNA damage response of clinical carbon ion versus photon radiation in human glioblastoma cells,Lopez Perez,11,,2019
Guda                    Chittibabu,,,BMC Systems Biology,"Graduate Department of Biochemistry, University of Toronto",Global mapping of c-Myc binding sites and target gene networks in human B cells,Shen                    Ru,3,,2006
Ho                    Ho-Pui,,,Micromachines,MDPI,A novel role of serum cytochrome c as a tumor marker in patients with operable cancer,Loo,4,,2009
Silvestri                    Guido,           Lymphoid Organs          ,,PLoS Pathogens,Public Library of Science,"In early HIV infection, immediate vs deferred antiretroviral therapy reduced serious illnesses at 3 years",Zhao                    Juanjuan,16,,2015
Moreira                    Luciano Andrade,          Population Dynamics         ,,PLoS ONE,Publication of the Newton Institute,Longitudinal studies of,Robert                    Michael A.,7,,2000
Hegyi                    Hedi,,,Scientific Reports,Nature Publishing Group,Cytoscape: a software environment for integrated models of biomolecular interaction networks,Hegyi                    Hedi,1,,2003
Ben Saad,,,American Journal of Men's Health,Lippincott Williams & Wilkins,Melatonin as an antioxidant for stroke neuroprotection,Souissi,4,,2016
Li                    Yan,,,Scientific Reports,Nature Publishing Group,"3-Hydroxycarboplatin, a simple carboplatin derivative endowed with an improved toxicological profile",Liu                    Weiping,8,,2012
Macchione                    Mariangela,,,Scientific Reports,Nature Publishing Group UK,Analysis of relative gene expression data using real-time quantitative PCR and the 2(-Delta Delta C(T)) Method,Frias                    Daniela Perroni,13,,2001
Iwasaki                    Norimasa,,,Scientific Reports,Nature Publishing Group UK,"ISB recommendation on definitions of joint coordinate systems of various joints for the reporting of human joint motion—Part II: Shoulder, elbow, wrist and hand",Numaguchi                    Kyosuke,8,,2005
Geng                    Dechun,,,Journal of Tissue Engineering,SAGE Publications,Evaluation of adipose-derived stem cells for tissue-engineered muscle repair construct-mediated repair of a murine model of volumetric muscle loss injury,Zhang,12,,2016
Yu                    Zhi-Guo,,,Journal of Pharmaceutical Analysis,Xi'an Jiaotong University,Several issues about establishing standard curves of biological analysis by a linearly weighed least squares regression method,Liu                    Hui,8,,1996
Morales-Prieto,,,International Journal of Molecular Sciences,MDPI,Immunological effects of placental extracellular vesicles,Chaiwangyen,8,,2018
Lee                    Norman H,,,Molecular Cancer,BioMed Central,WebLogo: a sequence logo generator,Wang                    Bi-Dar,13,,2004
Khan                    Muhammad Athar,,,Pakistan Journal of Medical Sciences,Professional Medical Publications,Correlation between Interpupillary and Inner-Outer canthal distances in Individuals Younger than 20,Hayat                    Nausheen,5,,2008
Puszczewicz                    Mariusz,        Original Paper       ,,Journal of Medical Biochemistry,Sciendo,"Adipocytokines in systemic lupus erythematosus: relationship to inflammation, insulin resistance and coronary atherosclerosis",Grygiel-Górniak                    Bogna,4,,2009
Hotchin                    Neil A.,,,PLoS ONE,Public Library of Science,Compensation mechanism in tumor cell migration: mesenchymal-amoeboid transition after blocking of pericellular proteolysis,Wacker                    Ingrid,3,,2003
Aziz                    Syed A.,        Neuroscience/Behavioral Neuroscience       ,,PLoS ONE,Swets & Zeitlinger,Comparing phenotypes in patients with idiopathic autism to patients with velocardiofacial syndrome (22q11 DS) with and without autism.,Bruining                    Hilgo,8,"Health Canada, Canada",2007
das Neves                    José,           Oral Administration          ,,PLoS ONE,Guilford Publications,Acceptance letter,Zissette                    Seth,15,,2017
Vrtačnik                    Danilo,,,Micromachines,MDPI,Modeling the human skin barrier—Towards a better understanding of dermal absorption,Resnik                    Drago,7,,2013
Hahnen                    Eric,,,Human Molecular Genetics,Oxford University Press,Nonsense-mediated messenger RNA decay of survival motor neuron 1 causes spinal muscular atrophy,Hauke                    Jan,8,,2008
Turner                    Peter C,,,Virology Journal,BioMed Central,A PCR-based method for manipulation of the vaccinia virus genome that eliminates the need for cloning,Prichard                    Mark N,6,,1992
Liu                    Yunhui,,,Frontiers in Molecular Neuroscience,Frontiers Media S.A.,Combined PET imaging of the inflammatory tumor microenvironment identifies margins of unique radiotracer uptake.,Yang                    Chunqing,11,,2017
Dussaule                    Jean-Claude,           Kidneys          ,,PLoS ONE,Public Library of Science,CD2-associated protein/phosphoinositide 3-kinase signaling has a preventive role in angiotensin II-induced podocyte apoptosis,Liu                    Jing,8,,2016
Silman                    Israel,          Epigenetics         ,,PLoS ONE,Public Library of Science,Stress-induced epigenetic transcriptional memory of acetylcholinesterase by HDAC4,Holtkamp                    Caroline,11,,2012
Tofail                    Syed A. M.,        Nano Express       ,,Nanoscale Research Letters,Finnish Institute of Occupational Health,A decision-directed approach for prioritizing research into the impact of nanomaterials on the environment and human health,Murphy,10,,2011
Chen                    Qianxue,,,Translational Oncology,Neoplasia Press,A novel ferroptosis-related prognostic signature reveals macrophage infiltration and EMT status in bladder cancer,Tong                    Shiao,9,,2021
O’Shaughnessy                    Kevin M.,,,Physiological Reports,John Wiley and Sons Inc.,"New light on the ""old"" chloride channel blocker DIDS",Murthy                    Meena,2,,2008
Kroep                    J. R.,        Clinical Trial       ,,Breast Cancer Research and Treatment,Springer US,Tumour-infiltrating CD8 + lymphocytes as an independent predictive factor for pathological complete response to primary systemic therapy in breast cancer,de Groot                    A. F.,14,,2013
Kim                    Sangil,,,Socio-Economic Planning Sciences,medRxiv,Mathematical models for predicting covid-19 pandemic: a review,Masum                    Mohammad,5,,2021
Sens                    Mariana Mazzochi,        Investigation       ,,Anais Brasileiros de Dermatologia,Sociedade Brasileira de Dermatologia,"Photoprotection, melasma and quality of life in pregnant women",Ikino                    Juliana Kida,5,,2012
Smith                    Nicola J.,,,Scientific Reports,Nature Publishing Group UK,Metalloprotease cleavage of the N terminus of the orphan G protein-coupled receptor GPR37L1 reduces its constitutive activity,Coleman                    James L. J.,7,,2016
Pérez                    Valentin,,,Vaccines,StatPearls Publishing,Negative regulation of Toll-like receptor 4 signaling by IL-10–dependent microRNA-146b,Sabir                    Mumdooh J.,8,,2013
Nadimi                    Esmaeil S.,,,Journal of Diabetes Research,Hindawi,Cutaneous manifestations of diabetes mellitus,Blanes-Vidal,5,,2015
Van der Ploeg                    Lex H.T.,        Brief Communication       ,,Molecular Metabolism,Elsevier,Novel pharmacological MC4R agonists can efficiently activate mutated MC4R from obese patient with impaired endogenous agonist response,Collet                    Tinh-Hai,28,,2010
Jones                    Chris,        Oncology/Neuro-Oncology       ,,PLoS ONE,Public Library of Science,Coupled two-way clustering analysis of gene microarray data.,Murat                    Anastasia,11,"Institute of Cancer Research, United Kingdom",2000
Samal                    Siba K.,,,Scientific Reports,Nature Publishing Group UK,Determination of 50% endpoint titer using a simple formula,Shirvani                    Edris,4,,2016
Campone,,,Nature Communications,Nature Publishing Group UK,"277MO SAR439859, an oral selective estrogen receptor (ER) degrader (SERD), in ER+/ HER2- metastatic breast cancer (mBC): biomarker analyses from a phase I/II study",Bardia,17,,2020
Massoud                    Tarik F.,,,Frontiers in Physiology,Thieme,Pathological considerations,Jain                    Mika S.,3,,1987b
Hunt                    Matthew,        Review       ,,PLoS Currents,Public Library of Science,Earthquakes to Floods: A Scoping Review of Health-related Disaster Research in Low- and Middle-income Countries,Tansey                    Catherine M.,5,"Centre for Interdisciplinary Research in Rehabilitation, School of Physical and Occupational Therapy, McGill University, Montréal, Québec, Canada",2018
Lavie                    Lena,,,Oxidative Medicine and Cellular Longevity,Hindawi Publishing Corporation,Anti-oxidant treatment in obstructive sleep apnoea syndrome,Dyugovskaya                    Larissa,5,"The Lloyd Rigler Sleep Apnea Research Laboratory, Unit of Anatomy and Cell Biology, The Ruth and Bruce Rappaport Faculty of Medicine, Technion-Israel Institute of Technology, 31096 Haifa, Israel",2011
Eticha,,,Journal of Analytical Methods in Chemistry,FDA,RP-HPLC method for the determination of cinitapride in the presence of its degradation products in bulk drug,Thangabalan,3,"School of Pharmacy, College of Health Sciences, Mekelle University, Mekelle, Ethiopia",2001
Ma,,,Cancer Cell International,BioMed Central,Epithelial-mesenchymal transition in cancer: a historical overview,Li                    Yibing,4,,2020
Tang                    Yihu,,,Thoracic Cancer,"John Wiley & Sons Australia, Ltd",Control of a tumor suppressor PDCD4: Degradation mechanisms of the protein in hepatocellular carcinoma cells,Liu                    Feng,6,,2014
Lu                    Quan,,,Scientific Reports,Nature Publishing Group UK,The Generalized Higher Criticism for Testing SNP-Set Effects in Genetic Association Studies,Park                    Hae-Ryung,5,,2017
Zhang                    Daoqiang,,,PLoS ONE,Public Library of Science,Magnetic resonance imaging of the newborn brain: automatic segmentation of brain images into 50 anatomical regions,Heckemann                    Rolf A.,8,,2013
Alam                    Mohammad Khursheed,,,Scientific Reports,Nature Publishing Group UK,Computed tomography—an increasing source of radiation exposure,Farook                    Taseef Hasan,6,,2007
Asakura                    Atsushi,,,PLoS ONE,Public Library of Science,Induction and monitoring of definitive and visceral endoderm differentiation of mouse ES cells,Nagaoka                    Masato,6,,2005
Dalar.                    Levent,        Observational Study       ,,Medicine,Wolters Kluwer Health,Pirfenidone for the treatment of Hermansky-Pudlak syndrome pulmonary fibrosis,Wu                    Wenjuan,9,,2011
Barnett                    Amanda,        Systematic Review       ,,Contemporary School Psychology,New Orleans,Supervision in school psychology: Current practices and congruence with professional standards,Ormiston,3,,1989
Fang,,,Bioengineered,Taylor & Francis,Rapid expression of fibronectin in the rabbit heart after myocardial infarction with and without reperfusion,Xie                    Yun,5,"Department of Emergency,",1992
Allard                    Stephanie,,,Animals : an Open Access Journal from MDPI,San Diego Zoo Institute for Conservation Research,A Delphi study to build consensus on the definition and use of big data in obesity research,Whittaker,8,,2019
Ali                    Hammad,,,BMC Medical Education,"London, BMA",Effect of Communications Training on Medical Student Performance,Ahsen                    Noor F,7,,2003
Meadows                    Graham,        Study Protocol       ,,BMC Psychiatry,Sydney,"Employer burden of mild, moderate, and severe major depressive disorder: mental health services utilization and costs, and work performance",Frances,5,,2010
Abraham                    Joel K.,,,CBE Life Sciences Education,Springer,An interactive modeling lesson increases students’ understanding of ploidy during meiosis,Wright                    L. Kate,4,"Thomas H. Gosnell School of Life Sciences, Rochester Institute of Technology, Rochester, NY 14623",2011
Wu                    Bingyuan,,,Journal of Thoracic Disease,AME Publishing Company,"Malnutrition, muscle wasting and cachexia in chronic heart failure: the nutritional approach.",Li                    Zexiong,10,,2003
Tang                    Weili,        1506       ,,General Psychiatry,Hunan Science Publishing House,"Community attitudes to the appropriation of mobile phones for monitoring and managing depression, anxiety, and stress",Chen                    Jing,5,,2010
Papi                    Alberto,,,Advances in Therapy,Springer Healthcare,Predicting frequent asthma exacerbations using blood eosinophil count and other patient data routinely available in clinical practice,Di Marco                    Fabiano,11,,2016
Puglisi                    Michael J.,,,Nutrients,Springer International Publishing,Understanding the Value of Backbone Organizations in Collective Impact: Part 2,Abebe Gurganus                    Eminet,5,,2012
Quiroz                    Yakeel T.,,,Nature medicine,,"Integrating single-cell transcriptomic data across different conditions, technologies, and species",Arboleda-Velasquez                    Joseph F.,44,,2018
Zhang                    Xiaoping,,,Theranostics,Ivyspring International Publisher,DNA methylation-regulated QPCT promotes sunitinib resistance by increasing HRAS stability in renal cell carcinoma,Xiong                    Zhiyong,9,,2019
Khalique,,,Neural Plasticity,Springer,Limitations on visual information processing in the sleep-deprived brain and their underlying mechanisms,Yu,6,,2015
Attems                    Johannes,        Original Paper       ,,Acta Neuropathologica,Cambridge Univeristy Press,"Extent and distribution of white matter hyperintensities in normal aging, MCI, and AD",McAleese,11,,2006
Lidzba                    Karen,,,PLoS ONE,McGraw-Hill,Very preterm adolescents show gender-dependent alteration of the structural brain correlates of spelling abilities,Cheong                    Jeanie L. Y.,13,,2011
Zhu                    Xiaoshan,          Medical Risk Factors         ,,PLoS ONE,United States Environmental Protection Agency,Chemical composition and hazardous effects of leachate from the active municipal solid waste landfill surrounded by farmlands,Essien                    Joseph P.,7,,2020
Yu                    Zhi-Bin,,,BMC Medical Genomics,BioMed Central,A recessive form of extreme macrocephaly and mild intellectual disability complements the spectrum of PTEN hamartoma tumour syndrome,Zhao,8,,2016
Millioni                    Renato,,,Diagnostics,CRC Press,COVID-19 Vaccine and Death: Causality Algorithm According to the WHO Eligibility Diagnosis,Musso,11,,2021
Ljubimov                    Alexander V.,         Surgical and Invasive Medical Procedures        ,,PLoS ONE,Public Library of Science,Inflammatory and fibrotic responses of cardiac fibroblasts to myocardial damage associated molecular patterns (DAMPs),Okumura                    Naoki,10,,2015
Song                    Lei,,,Journal of Research in Medical Sciences : The Official Journal of Isfahan University of Medical Sciences,Medknow Publications & Media Pvt Ltd,Extracellular matrix composition is modified by β,Li                    Yangxue,8,,2014
Lam                    Eric W.-F.,,,Oncogene,,SIRT inhibitors induce cell death and p53 acetylation through targeting both SIRT1 and SIRT2,Monteiro                    Lara J.,15,,2010
Armitage                    James A.,,,BMC Medical Education,Pearson,Association of Critical Thinking Skills with Clinical Performance in fourth-year optometry students,Edgar                    Amanda K.,4,,2008
Li                    Zhixin,,,Aging and Disease,JKL International LLC,Thapsigargin induces apoptosis when autophagy is inhibited in HepG2 cells and both processes are regulated by ROS-dependent pathway,Ma                    Liwei,11,,2015
Eltzschig                    Holger K.,         Cardiovascular        ,,PLoS ONE,Public Library of Science,A rapid and sensitive method for the quantitation of microgram quantities of protein utilizing the principle of protein-dye binding.,Palomer                    Xavier,7,"University of Colorado Denver, United States of America",1976
Hozumi                    Isao,,,SpringerPlus,Columbia University Press,Making sense of qualitative data analysis: an introduction with illustrations from DIPEx (personal experiences of health and illness),Takeuchi                    Tomiko,5,,2006
Lee,,,Nature Communications,Nature Publishing Group UK,Prodigal: prokaryotic gene recognition and translation initiation site identification,Kim                    Chan Yeong,3,,2010
Jones                    Michael N.,,,Computational Intelligence and Neuroscience,W. W. Norton & Company,Sparse coding with an overcomplete basis set: a strategy employed by V1?,Recchia                    Gabriel,4,,1997
Dartt                    Darlene A.,,,Scientific Reports,Nature Publishing Group,Aspirin-triggered lipoxins override the apoptosis-delaying action of serum amyloid A in human neutrophils: a novel mechanism for resolution of inflammation,Hodges                    Robin R.,5,,2007
Hodge,,,"Clinical Ophthalmology (Auckland, N.Z.)",Dove,Patients with normal tension glaucoma have relative sparing of the relative afferent pupillary defect compared to those with open angle glaucoma and elevated intraocular pressure,Ioannidis,4,,2017
Wang                    Peng,,,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,"International Scientific Literature, Inc.",Management of prostate cancer by targeting 3βHSD1 after enzalutamide and abiraterone treatment,Myint                    Zin W.,7,,2022
Cherkasov                    Artem,,,Molecules,"Schrödinger, LLC",Conformer generation with OMEGA: Algorithm and validation using high quality structures from the Protein Databank and Cambridge Structural Database,Dueva,6,"Vancouver Prostate Centre, University of British Columbia, 2660 Oak Street, Vancouver, BC V6H 3Z6, Canada;",2010
Hagiwara                    Magnus Andersson,,,BMC Nursing,Northwestern University,The Nordic tradition of caring science: the works of three theorists,Sterner,5,,2015
Tellinghuisen                    Timothy L.,          Vector-Borne Diseases         ,,PLoS Pathogens,Public Library of Science,Ontology-based meta-analysis of global collections of high-throughput public data,Yamamoto                    Satomi,16,,2010
Sobus                    Jon R.,,,Journal of exposure science & environmental epidemiology,United States Environmental Protection Agency,Strategies for the assessment of matrix effect in quantitative bioanalytical methods based on HPLC-MS/MS,Morgan                    Marsha K.,4,,2003
Chowdhury                    Shantanu,"        Gene regulation, Chromatin and Epigenetics       ",,Nucleic Acids Research,Oxford University Press,Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles,Yadav                    Vinod Kumar,13,,2005
Li                    Yue,,,Molecular Therapy. Nucleic Acids,American Society of Gene & Cell Therapy,Personality and affective forecasting: trait introverts underpredict the hedonic benefits of acting extraverted,Dai                    Chenguang,13,,2013
Coffey                    Robert J.,,,"Traffic (Copenhagen, Denmark)",John Wiley & Sons A/S,A monoclonal antibody produced against Naked2,Cao                    Zheng,10,,2013
Matsuo                    Masafumi,,,Molecular Vision,Molecular Vision,Dystrophin gene mutation location and the risk of cognitive impairment in Duchenne muscular dystrophy.,Kubokawa                    Ikuko,10,"Department of Pediatrics, Graduate School of Medicine, Kobe University, Kobe, Japan",2010
Singh                    U. S.,        Hematology       ,,Cureus,Saunders Elsevier,Coagulation defects in thalassemic patients,Muacevic                    Alexander,10,,2017
ESTRELA                    Carlos,,,Journal of Applied Oral Science,Faculdade de Odontologia de Bauru da Universidade de São Paulo,"Imaging of root canal fillingsa comparison of subjective image quality between limited conebeam CT, storage phosphor and film radiography",DECURCIO                    Daniel Almeida,6,,2007
Hoque                    Mohammad Obaidul,,,British Journal of Cancer,Nature Publishing Group UK,Cancer transcriptome profiling at the juncture of clinical translation,Ooki                    Akira,8,,2017
Fernández-Hilario                    Alberto,          Experimental Design         ,,PLoS ONE,Oxford university press,Improving condition severity classification with an efficient active learning based framework,Rother,7,,2016
Franco                    Renato,           Necrosis          ,,PLoS ONE,Public Library of Science,Tissue microarrays: an overview,Mena,18,,2008
Baré                    Patricia,,,Molecular Immunology,Elsevier Ltd.,"Safety and immunogenicity of an inactivated COVID-19 vaccine, BBIBP-CorV, in people younger than 18 years: a randomised, double-blind, controlled, phase 1/2 trial",Badano                    María Noel,15,,2021
Chen,        2312       ,,Gut,BMJ Publishing Group,Atezolizumab plus bevacizumab in unresectable hepatocellular carcinoma,Shang                    Runze,15,,2020
Bogacz                    Rafal,           Synapses          ,,PLoS Computational Biology,MIT Press,Fast and accurate calculations for first-passage times in Wiener diffusion models,Dunovan,6,,2009
Wang                    Joseph,,,Biosensors & Bioelectronics,Elsevier,Decentralized vitamin C & D dual biosensor chip: Toward personalized immune system support,Ruiz-Valdepeñas Montiel                    Víctor,9,,2021
