article_type,last_author,keywords,journal-title,ISSN,publisher-name,subject,article-title,first_author,contrib,aff,year,funding,institution,award,PMCID,tokenized_METHODS,country
research-article,Crispin                 Jose C.,,PLoS ONE,1932-6203,Public Library of Science,Propidium Iodide Staining,Evolution of neuropathologic abnormalities associated with blood-brain barrier breakdown in transgenic mice expressing interleukin-6 in astrocytes,Matsueda                    Yu,5,,1995,"http://dx.doi.org/10.13039/100009619, Japan Agency for Medical Research and Development, 15eK0410022h0001, http://orcid.org/0000-0003-1911-7383, Hirohata, Shunsei, KAKENHI, 15K09556, http://orcid.org/0000-0003-1911-7383, Hirohata, Shunsei, This work was supported by grant-in-aid (c) from the Ministry of Education, Culture, Science and Sports of Japan (recipient: SH) (No.15K09556) and by a grant from Japan Agency for Medical Research and Development (No.15eK0410022h0001) (recipient:SH). These funders do not play any role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript.",KAKENHI,15K09556,PMC6301657, ,
research-article,Zhang                 Sicong,,Frontiers in Neuroscience,1662-453X,Frontiers Media S.A.,Original Research,Anti-fatigue performance in SSVEP-based visual acuity assessment: a comparison of six stimulus paradigms.,Zheng                    Xiaowei,10,,2020d,,State Key Laboratory for Manufacturing Systems Engineering Xi’an Jiaotong University,,PMC8795862, ,China
research-article,Mattei                 Fabrizio,,PLoS ONE,1932-6203,Public Library of Science,Cell Staining,"Cloning and characterization of MEK6, a novel member of the mitogen-activated protein kinase kinase cascade",Ernst                    Ann-Kathrin,16,,1996,"http://dx.doi.org/10.13039/501100006769, Russian Science Foundation, 14-44-00051, Samatov, Timur R., SRC Bioclinicum, Samatov, Timur R., SRC Bioclinicum, Galatenko, Vladimir V., SRC Bioclinicum, Shkurnikov, Maxim Yu, SRC Bioclinicum, Knyazev, Evgeny N., This work was financially supported by the Russian Science Foundation (Grant 14-44-00051). This work was also funded by SRC Bioclinicum, Moscow: The funder provided support in the form of (part of) the salaries for authors T.S., V.G., M.S. and E.K., but did not have any additional role in the study design, data collection and analysis, decision to publish, or preparation of the manuscript. The specific roles of these authors are articulated in the ‘author contributions’ section.",SRC Bioclinicum,14-44-00051,PMC5809060, ,
research-article,Mohammed                 Noman,,BMC Medical Genomics,1755-8794,ACM,Research,Privacy in the genomic era,Aziz                    Md Momin Al,4,,2015,,Faculty of Sciences Bu-Ali Sina University,,PMC5547468, ,
research-article,Geng                 Yong,,Acta Pharmacologica Sinica,1745-7254,Springer Nature Singapore,Article,Immune inhibitory molecules LAG-3 and PD-1 synergistically regulate T-cell function to promote tumoral immune escape,Zhang                    Wan-ting,12,,2012,,Chinese Academy of Sciences,,PMC8563870, ,
research-article,Lussier                 Yves A,,BMC Medical Genomics,1755-8794,"Vienna, Austria",Research,Precision oncology: an overview,Gardeux                    Vincent,6,,2013,,,,PMC4101571, ,
research-article,Manchia.                 Mirko,,Medicine,1536-5964,Wolters Kluwer Health,"Research Article, Observational Study",A genome-wide association study of pulmonary function measures in the Framingham Heart Study,Suh                    Yujin,3,"Department of Bioinformatics and Life Science, Soongsil University, Seoul, Korea.",2009,,,,PMC5682835, ,
research-article,Kay                 Kendrick,,PLoS ONE,1932-6203,W.H. Freeman,Convolution,Acceptance letter,Tang                    Kevin,8,,2013,"http://dx.doi.org/10.13039/100000002, National Institutes of Health, 1R01EY030854, https://orcid.org/0000-0002-8697-314X, Xu, Yaoda, National Institute of Health, 1R01MH108591, Chun, Marvin, The project is supported by NIH grants 1R01MH108591 to MC and 1R01EY030854 to YX. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",National Institute of Health,1R01MH108591,PMC9239439, ,
research-article,Pan                 Zhigeng,,"Sensors (Basel, Switzerland)",1424-8220,Springer,Article,Snaptoreality: Aligning augmented reality to the real world,Wei                    Hongtao,7,"College of Information Engineering, Wuhan University of Technology, Wuhan 430070, China;",2022,"National Natural Science Foundation of China, 51879211, This research is supported by the National Natural Science Foundation of China (Grant No. 51879211) and as a part of the research project “Artificial Intelligence-based Environment Perception and Safety Strategy for Unmanned Ships on Inland Rivers”.",,51879211,PMC9185552, ,
research-article,Park                 Keunchil,,Cancer Research and Treatment : Official Journal of Korean Cancer Association,2005-9256,Korean Cancer Association,Original Article,Prospective blinded study of somatic mutation detection in cell-free DNA utilizing a targeted 54-gene next generation sequencing panel in metastatic solid tumor patients,Lee                    Se-Hoon,30,,2015,,,,PMC6333975, ,Korea
research-article,Rowland Yeo                 Karen,,Clinical Pharmacokinetics,1179-1926,Springer International Publishing,Original Research Article,"Combination of olanzapine and samidorphan has no clinically relevant effects on ECG parameters, including the QTc interval: results from a phase 1 QT/QTc study",Sun,3,,2020,Alkermes Inc.,Alkermes Inc.,,PMC8113183,"The creatinine clearance was divided by a value of 120 or 130 for female and male patients, respectively, to determine a scalar of renal function, which was then applied directly to the renal plasma clearance input.",
research-article,Kapur,,BJPsych Open,2056-4724,StataCorp LP,Papers,Safety planning intervention: a brief intervention to mitigate suicide risk,Taylor,6,"Centre for Mental Health and Safety, Manchester Academic Health Science Centre,",2012,,University of Manchester,,PMC7791570, ,UK
research-article,Carbon                 Claus-Christian,,i-Perception,2041-6695,Westview Press,Art and Perception,“Stability of babyfaceness and attractiveness across the life span”,Carbon                    Claus-Christian,1,"University of Bamberg, Department of General Psychology and Methodology, Markusplatz 3, D-96047 Bamberg, Germany; email:",1993,,,,PMC3485809, ,
review-article,Thawani                 Jayesh P.,,Surgical Neurology International,2152-7806,Medknow Publications & Media Pvt Ltd,Review Article,3D printing of intracranial artery stenosis based on the source images of magnetic resonance angiograph,Randazzo                    Michael,4,,2014,,,,PMC5122816, ,
research-article,Song                 Won-Kyung,,Journal of Physical Therapy Science,2187-5626,The Society of Physical Therapy Science,Original Article,"Robotic assist-as-needed as an alternative to
therapist-assisted gait rehabilitation",Cho                    Ki Hun,3,,2016,,,,PMC5909006, ,
research-article,Stevenson                 A. R. L.,,The British Journal of Surgery,1365-2168,Elsevier,Original Articles,Three‐dimensional vision enhances task performance independently of the surgical method,Sakata                    S.,5,,2012,,Metro North Hospital and Health Service,,PMC5485031, ,Australia
research-article,Mei                 Ning,,Frontiers in Behavioral Neuroscience,1662-5153,IEEE,Original Research,Sun database: Large-scale scene recognition from abbey to zoo,Ellmore                    Timothy M.,4,,2010,"National Institute of Mental Health, 10.13039/100000025",National Institute of Mental Health,,PMC9520405, ,United States
letter,Verde,,"Sensors (Basel, Switzerland)",1424-8220,Springer Science & Business Media,Letter,Joint Tx-Rx beamforming design for multicarrier MIMO channels: A unified framework for convex optimization,Darsena,4,,2003,,,,PMC7663057, ,
research-article,Nakayama                 Atsuo,,Molecular Genetics & Genomic Medicine,2324-9269,John Wiley and Sons Inc.,Original Articles,Mitochondrial energetics and therapeutics,Fukada                    Masahide,8,,2010,"Japan Society for the Promotion of Science, KAKENHI/16K10202",Nagoya University Graduate School of Medicine,KAKENHI/16K10202,PMC6625133, ,Japan
research-article,Li                 Qing-Shan,,Oncotarget,1949-2553,Impact Journals LLC,Research Paper,Prognostic Impact of Tumor Microenvironment in Diffuse Large B-Cell Lymphoma Uniformly Treated With R-CHOP Chemotherapy,Zhong                    Wei-Jie,9,,2016,,,,PMC5564805, ,
review-article,Sekiya                 Jon K.,,Sports Health,1941-0921,SAGE Publications,"4, 41, 42, 115",Arthroscopic lavage speeds reduction in effusion in the glenohumeral joint after primary anterior shoulder dislocation: a controlled randomized ultrasound study,Godin                    Jonathan,2,,2000,,,,PMC3445078, ,
research-article,Niemczyk                 Stanislaw,,BMC Nephrology,1471-2369,Springer,Research Article,Mathematical model of potassium profiling in chronic dialysis,Stecz,4,,2017,,Military Institute of Medicine,,PMC6604306, ,
research-article,Laufer                 Y.,,ISRN Orthopedics,2090-617X,International Scholarly Research Network,Research Article,Gender differences in pain and depressive tendency among Chinese elders with knee osteoarthritis,Elboim-Gabyzon                    M.,3,,2007,,,,PMC4063163, ,
research-article,Vertegaal,,Nature Communications,2041-1723,Nature Publishing Group UK,Article,"STRING v10: protein–protein interaction networks, integrated over the tree of life",Liebelt                    Frauke,8,,2015,,Leiden University Medical Center,,PMC6726658, ,
research-article,Vrtovec                 Bojan,,Disease Markers,1875-8630,Hindawi,Research Article,"Autologous mesenchymal stem cells produce concordant improvements in regional function, tissue perfusion, and fibrotic burden when administered to patients undergoing coronary artery bypass grafting: the Prospective Randomized Study of Mesenchymal Stem Cell Therapy in Patients Undergoing Cardiac Surgery (PROMETHEUS) trial",Poglajen                    Gregor,7,,2014,"Javna Agencija za Raziskovalno Dejavnost RS, J3-9283",,J3-9283,PMC6925830, ,
research-article,Etzion                 Yoram,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Spironolactone prevents aldosterone induced increased duration of atrial fibrillation in rat,Klapper-Goldstein                    Hadar,9,,2012,National institute of biotechnology in the Negev,National institute of biotechnology in the Negev,,PMC7744539, ,
research-article,Bhattacharya                 Pratip K.,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,High-throughput hyperpolarized (13) C metabolic investigations using a multi-channel acquisition system,Zacharias                    Niki Marie,11,,2015,,Huntington Medical Research Institutes,,PMC5701017, ,
research-article,Kluger                 Yuval,,Nucleic Acids Research,1362-4962,Wiley,Methods Online,Netrin-1 and its receptors in tumour growth promotion,Strino                    Francesco,4,,2008,,,FAU 0812160900,PMC3783191, ,
research-article,Nakamura                 Kazuyuki,,Proteome Science,1477-5956,BioMed Central,Methodology,A novel approach of protein immobilization for protein chips using an oligo-cysteine tag,Akada                    Junko,14,,2006,,,,PMC3750938, ,
research-article,Karathanasis                 Efstathios,,PLoS ONE,1932-6203,Public Library of Science,PET imaging,"The anti-cancer drug, doxorubicin, causes oxidant stress-induced endothelial dysfunction",Cheng                    Qing,13,,2006,"This work was supported by the Swedish Foundation for Strategic Research (SSF) (RBa08-0067); Governmental Agency for Innovation Systems (VINNOVA) (2009-00179); The Swedish Cancer Society (Cancerfonden) (2009/739 to E.S.J.A.); The Swedish Research Council (2008-2654 to E.S.J.A., 2004-5104 and 2008-3186 to S.S.E.); and Karolinska Institutet. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",,,PMC3411630, ,
research-article,dennis.marshall@ferring.com,,Reproductive biology and endocrinology : RB&E,1477-7827,Cambridge: Cambridge University Press,Research,Pain perception following subcutaneous injections of citrate-buffered and phosphate-buffered epoetin alpha,Dickey                    Richard P,10,,1998,,,,PMC270000, ,
research-article,You                 Zongbing,,Cancer Research and Treatment : Official Journal of Korean Cancer Association,2005-9256,Korean Cancer Association,Original Article,IL-17 is associated with poor prognosis and promotes angiogenesis via stimulating VEGF production of cancer cells in colorectal carcinoma,Li                    Qingli,6,,2011,,,,PMC4132449, ,China
review-article,Lambalk                 C.B.,,Human Reproduction Open,2399-3529,Blackwell Scientific Publications,Review,Long-term health consequences of PCOS,Sadrzadeh                    S.,5,,1992,,Vrije Universiteit Amsterdam de Boelelaan 1117 1081 HV Amsterdam,,PMC6276673,"The seven studies with a sample size smaller than 300 had similar odds [95% CI] of 1.41 [1.02, 1.95], including 949 women.",The Netherlands
research-article,Sui                 Xin-Bing,,Frontiers in Pharmacology,1663-9812,Frontiers Media S.A.,Original Research,Long-circulating siRNA nanoparticles for validating Prohibitin1-targeted non-small cell lung cancer treatment.,Kong                    Na,5,,2015,"National Natural Science Foundation of China, 10.13039/501100001809, 81672932",Key Laboratory of Elemene Class Anti-cancer Chinese Medicine of Zhejiang Province and Engineering Laboratory of Development and Application of Traditional Chinese Medicine from Zhejiang Province Hangzhou Normal University,81672932,PMC5829531, ,China
review-article,Chiu                 Ming-Jang,,Biomedicines,2227-9059,MDPI,Systematic Review,Elastin-Derived Peptides in the Central Nervous System: Friend or Foe,Wolgin,7,,2021,This research received no external funding.,,,PMC9313191, ,
research-article,Yang                       Yun,,Journal of the American Society of Echocardiography,1097-6795,Mosby-Year Book,Article,"Feasibility, reproducibility, and clinical implications of the novel fully automated assessment for global longitudinal strain",Asch                    Federico M.,39,,2021,,University of Chicago,,PMC9293371, ,
research-article,Lee                 Hyo-Jeong,,BMC Cancer,1471-2407,BioMed Central,Research Article,Hypoxia--a key regulatory factor in tumour growth,Lee                    Seon-Ok,4,,2002,,,,PMC5007821, ,
research-article,Sahinalp                 S. Cenk,,Bioinformatics,1367-4811,Oxford University Press,Genes,Integrating human sequence data sets provides a resource of benchmark SNP and indel genotype calls,Numanagić                    Ibrahim,6,,2014,,,U01HG007762,PMC4542776, ,
research-article,Nicolay                 Nils H.,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,DNA damage response of clinical carbon ion versus photon radiation in human glioblastoma cells,Lopez Perez,11,,2019,,Medical Faculty Mannheim Heidelberg University,,PMC6934474, ,
research-article,Guda                 Chittibabu,,BMC Systems Biology,1752-0509,"Graduate Department of Biochemistry, University of Toronto",Research,Global mapping of c-Myc binding sites and target gene networks in human B cells,Shen                    Ru,3,,2006,,,,PMC3524085, ,
research-article,Ho                 Ho-Pui,,Micromachines,2072-666X,MDPI,Article,A novel role of serum cytochrome c as a tumor marker in patients with operable cancer,Loo,4,,2009,,,,PMC6190337, ,
research-article,Silvestri                 Guido,,PLoS Pathogens,1553-7374,Public Library of Science,Lymphoid Organs,"In early HIV infection, immediate vs deferred antiretroviral therapy reduced serious illnesses at 3 years",Zhao                    Juanjuan,16,,2015,"http://dx.doi.org/10.13039/501100001809, National Natural Science Foundation of China, 81672037, Zhao, Juanjuan, http://dx.doi.org/10.13039/501100001809, National Natural Science Foundation of China, 91442127, http://orcid.org/0000-0002-3544-1389, Zhang, Zheng, the National Science Fund for Outstanding Young Scholars, 81222024, http://orcid.org/0000-0002-3544-1389, Zhang, Zheng, http://dx.doi.org/10.13039/501100001809, National Natural Science Foundation of China, 81471577, Chen, Weiwei, http://dx.doi.org/10.13039/501100001809, National Natural Science Foundation of China, 81571512, http://orcid.org/0000-0002-6932-7103, Fu, Qiang, the UNC University Cancer Research Fund Innovation Grant from the US National Institutes of Health, AI080432, Su, Lishan, the UNC University Cancer Research Fund Innovation Grant from the US National Institutes of Health, AI077454, Su, Lishan, the UNC University Cancer Research Fund Innovation Grant from the US National Institutes of Health, AI095097, Su, Lishan, This work was supported in part by grants from the National Natural Science Foundation of China (81672037 to JZ; 91442127, to ZZ; 81471577 to WC; 81571512 to QF), the National Science Fund for Outstanding Young Scholars (81222024 to ZZ), and the UNC University Cancer Research Fund Innovation Grant from the US National Institutes of Health (AI080432, AI077454 and AI095097 to LS). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",the UNC University Cancer Research Fund Innovation Grant from the US National Institutes of Health,AI095097,PMC5773236, ,
research-article,Moreira                 Luciano Andrade,,PLoS ONE,1932-6203,Publication of the Newton Institute,Population Dynamics,Longitudinal studies of,Robert                    Michael A.,7,,2000,"http://dx.doi.org/10.13039/100000057, National Institute of General Medical Sciences, U01GM097661, Mores, Christopher N, This project was supported by the National Institutes of Health/NIGMS program for Models of Infectious Disease Agent Study (MIDAS) grant U01GM097661. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",National Institute of General Medical Sciences,U01GM097661,PMC4988691, ,
research-article,Hegyi                 Hedi,,Scientific Reports,2045-2322,Nature Publishing Group,Article,Cytoscape: a software environment for integrated models of biomolecular interaction networks,Hegyi                    Hedi,1,,2003,,CEITEC - Central European Institute of Technology Masaryk University,,PMC5382542, ,Czech Republic
research-article,Ben Saad,,American Journal of Men's Health,1557-9891,Lippincott Williams & Wilkins,Original Article,Melatonin as an antioxidant for stroke neuroprotection,Souissi,4,,2016,,,,PMC8785310, ,
research-article,Li                 Yan,,Scientific Reports,2045-2322,Nature Publishing Group,Article,"3-Hydroxycarboplatin, a simple carboplatin derivative endowed with an improved toxicological profile",Liu                    Weiping,8,,2012,,University of the Chinese Academy of Sciences,,PMC3746205, ,China
research-article,Macchione                 Mariangela,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,Analysis of relative gene expression data using real-time quantitative PCR and the 2(-Delta Delta C(T)) Method,Frias                    Daniela Perroni,13,,2001,"This work was supported by Brazil’s Sao Paulo Research Foundation (FAPESP), under grant number 2016/02782-4; and the Coordination for Improvement of Higher Education (CAPES) - Brazil.",This work was supported by Brazil’s Sao Paulo Research Foundation (FAPESP) under grant number 2016/02782-4; and the Coordination for Improvement of Higher Education (CAPES) - Brazil.,,PMC7048799, ,
research-article,Iwasaki                 Norimasa,,Scientific Reports,2045-2322,Nature Publishing Group UK,Article,"ISB recommendation on definitions of joint coordinate systems of various joints for the reporting of human joint motion—Part II: Shoulder, elbow, wrist and hand",Numaguchi                    Kyosuke,8,,2005,,Rush University Medical Center,,PMC8492740, ,
research-article,Geng                 Dechun,,Journal of Tissue Engineering,2041-7314,SAGE Publications,Original Article,"Evaluation of adipose-derived stem cells for tissue-engineered
muscle repair construct-mediated repair of a murine model of volumetric
muscle loss injury",Zhang,12,,2016,"Program for Introduction of Clinical Medical Teams to Suzhou, SZYJTD201714, Program from Jiangsu Health and Health Committee, H2018027, Social Development Program from Suzhou Science and Technology Bureau, SYSD2017170, SS201805, SYSD2018207",Social Development Program from Suzhou Science and Technology Bureau,"SYSD2017170, SS201805, SYSD2018207",PMC6851610, ,
research-article,Yu                 Zhi-Guo,,Journal of Pharmaceutical Analysis,2214-0883,Xi'an Jiaotong University,Original Article,Several issues about establishing standard curves of biological analysis by a linearly weighed least squares regression method,Liu                    Hui,8,,1996,,,,PMC5762439, ,
research-article,Morales-Prieto,,International Journal of Molecular Sciences,1422-0067,MDPI,Article,Immunological effects of placental extracellular vesicles,Chaiwangyen,8,,2018,,,,PMC7278925, ,
research-article,Lee                 Norman H,,Molecular Cancer,1476-4598,BioMed Central,Research,WebLogo: a sequence logo generator,Wang                    Bi-Dar,13,,2004,,,,PMC2883962, ,
research-article,Khan                 Muhammad Athar,,Pakistan Journal of Medical Sciences,1681-715X,Professional Medical Publications,Original Article,Correlation between Interpupillary and Inner-Outer canthal distances in Individuals Younger than 20,Hayat                    Nausheen,5,,2008,,,,PMC6408655, ,
research-article,Puszczewicz                 Mariusz,,Journal of Medical Biochemistry,1452-8266,Sciendo,Original Paper,"Adipocytokines in systemic lupus erythematosus: relationship to inflammation, insulin resistance and coronary atherosclerosis",Grygiel-Górniak                    Bogna,4,,2009,,Poznan University of Medical Sciences,,PMC6294098, ,Poland
research-article,Hotchin                 Neil A.,,PLoS ONE,1932-6203,Public Library of Science,Basic Cancer Research,Compensation mechanism in tumor cell migration: mesenchymal-amoeboid transition after blocking of pericellular proteolysis,Wacker                    Ingrid,3,,2003,"This work was supported by the Deutsche Krebshilfe (, www.krebshilfe.de",,,PMC4208853, ,
research-article,Aziz                 Syed A.,,PLoS ONE,1932-6203,Swets & Zeitlinger,"Genetics and Genomics/Complex Traits, Genetics and Genomics/Disease Models, Genetics and Genomics/Genetics of Disease, Genetics and Genomics/Medical Genetics, Neuroscience/Behavioral Neuroscience",Comparing phenotypes in patients with idiopathic autism to patients with velocardiofacial syndrome (22q11 DS) with and without autism.,Bruining                    Hilgo,8,"Health Canada, Canada",2007,,,,PMC2878316, ,
research-article,das Neves                 José,,PLoS ONE,1932-6203,Guilford Publications,Oral Administration,Acceptance letter,Zissette                    Seth,15,,2017,"http://dx.doi.org/10.13039/100000200, United States Agency for International Development, AID-OAA-A-14-00011, Doncel, Gustavo F., U.S. President’s Emergency Plan for AIDS Relief (PEPFAR), This study was funded by the U.S. President’s Emergency Plan for AIDS Relief (PEPFAR) and the U.S. Agency for International Development (USAID) through a cooperative agreement (AID-OAA-A-14-00011) with CONRAD and Eastern Virginia Medical School. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.",U.S. President’s Emergency Plan for AIDS Relief (PEPFAR),AID-OAA-A-14-00011,PMC8158999, ,
research-article,Vrtačnik                 Danilo,,Micromachines,2072-666X,MDPI,Article,Modeling the human skin barrier—Towards a better understanding of dermal absorption,Resnik                    Drago,7,,2013,,,,PMC6187700, ,
research-article,Hahnen                 Eric,,Human Molecular Genetics,1460-2083,Oxford University Press,Articles,Nonsense-mediated messenger RNA decay of survival motor neuron 1 causes spinal muscular atrophy,Hauke                    Jan,8,,2008,,University of Cologne,,PMC2638778, ,Germany
research-article,Turner                 Peter C,,Virology Journal,1743-422X,BioMed Central,Research,A PCR-based method for manipulation of the vaccinia virus genome that eliminates the need for cloning,Prichard                    Mark N,6,,1992,,,,PMC2276199, ,
research-article,Liu                 Yunhui,,Frontiers in Molecular Neuroscience,1662-5099,Frontiers Media S.A.,Original Research,Combined PET imaging of the inflammatory tumor microenvironment identifies margins of unique radiotracer uptake.,Yang                    Chunqing,11,,2017,,Key Laboratory of Cell Biology Ministry of Public Health of China and Key Laboratory of Medical Cell Biology Ministry of Education of China,,PMC5767169, ,China
research-article,Dussaule                 Jean-Claude,,PLoS ONE,1932-6203,Public Library of Science,Kidneys,CD2-associated protein/phosphoinositide 3-kinase signaling has a preventive role in angiotensin II-induced podocyte apoptosis,Liu                    Jing,8,,2016,"http://dx.doi.org/10.13039/501100001809, National Natural Science Foundation of China, 81170656, http://orcid.org/0000-0001-8375-5166, Chen, Xiao-lan, Key Projects of Science and Technology Development Funds of Nantong, MS32015018, http://orcid.org/0000-0001-8375-5166, Chen, Xiao-lan, the fifth ""226 project"" research projects of Nantong, http://orcid.org/0000-0001-8375-5166, Chen, Xiao-lan, This work was supported by the National Natural Science Foundation of China (81170656; Key Projects of Science and Technology Development Funds of Nantong(MS32015018); and the fifth ""226 project"" research projects of Nantong. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","the fifth ""226 project"" research projects of Nantong",MS32015018,PMC5945042, ,
